Frame,Emotion,Emotion_Confidence,Pose_Roll,Pose_Yaw,Pose_Pitch,Eye_Yaw,Eye_Pitch
78,CALM,86.9091796875,-4.986527442932129,0.10573286563158035,4.1070356369018555,-2.090085506439209,-12.02119255065918
79,CALM,99.16294860839844,-4.974194526672363,-0.004844981711357832,4.241523742675781,-1.7065151929855347,-13.160602569580078
80,CALM,99.58147430419922,-5.005677223205566,0.31840503215789795,4.470746994018555,-1.0696338415145874,-13.213104248046875
81,CALM,99.30245208740234,-4.733058452606201,0.5215757489204407,5.0258708000183105,-0.7158403992652893,-13.157703399658203
82,CALM,99.16294860839844,-4.516988754272461,0.5381885766983032,6.033355712890625,-1.0600621700286865,-12.884706497192383
83,CONFUSED,53.557945251464844,-4.394233703613281,0.49891963601112366,6.394709587097168,-1.7503581047058105,-11.577059745788574
84,SURPRISED,66.6237564086914,-4.790236949920654,0.22160229086875916,6.709917068481445,-1.5039587020874023,-11.20167350769043
85,SURPRISED,63.594364166259766,-4.5912861824035645,0.41918620467185974,6.882453441619873,-1.5893418788909912,-11.353043556213379
86,DISGUSTED,45.4345703125,-4.478455543518066,0.4444390535354614,7.005756855010986,-2.354079484939575,-11.743331909179688
87,DISGUSTED,59.27734375,-4.192479610443115,0.1733703464269638,7.695707321166992,-2.1526551246643066,-11.656424522399902
88,DISGUSTED,66.455078125,-3.727254867553711,0.7506341934204102,8.305264472961426,-2.2716355323791504,-11.988096237182617
89,DISGUSTED,64.6484375,-3.405907392501831,0.7841048836708069,8.01817512512207,-2.00295352935791,-11.58692741394043
90,DISGUSTED,55.908203125,-3.2436251640319824,0.9900296926498413,7.54764461517334,-2.2175073623657227,-12.17322063446045
91,CONFUSED,43.099365234375,-3.253052234649658,1.0131117105484009,7.013144016265869,-2.3768649101257324,-11.467705726623535
92,SURPRISED,36.6441650390625,-3.243898630142212,1.3679198026657104,6.591575622558594,-2.1807782649993896,-12.506630897521973
93,SURPRISED,64.77033233642578,-3.2376434803009033,1.6301276683807373,6.175788402557373,-2.0126149654388428,-12.3933687210083
94,CONFUSED,39.97488784790039,-2.8214313983917236,1.5651845932006836,6.064511775970459,-1.821162462234497,-12.04758358001709
95,CONFUSED,35.51060104370117,-3.0809569358825684,1.7097100019454956,6.117503643035889,-1.9471920728683472,-12.193562507629395
96,SURPRISED,48.030738830566406,-3.2519114017486572,1.6033049821853638,6.416298866271973,-1.4741146564483643,-12.227144241333008
97,SURPRISED,65.19214630126953,-3.6425845623016357,1.5861966609954834,6.262287616729736,-1.0439646244049072,-12.251142501831055
98,SURPRISED,67.40347290039062,-3.3732733726501465,1.4875531196594238,6.827925205230713,-1.0801737308502197,-12.530740737915039
99,CALM,58.687503814697266,-2.5518641471862793,1.2925528287887573,7.3523173332214355,-0.5963309407234192,-13.336202621459961
100,CALM,86.0546875,-2.6894724369049072,1.474765419960022,7.408050537109375,0.025871720165014267,-13.416335105895996
101,CALM,92.60602569580078,-2.823108196258545,1.344205617904663,6.668613910675049,0.05650484934449196,-13.115925788879395
102,CALM,92.74553680419922,-2.868884563446045,1.3366740942001343,5.796636581420898,0.38860976696014404,-12.616277694702148
103,CALM,89.3505859375,-2.821087121963501,1.3415570259094238,5.013632774353027,0.086518295109272,-12.660628318786621
104,CALM,81.84326171875,-2.7600510120391846,1.414840579032898,4.765000343322754,0.012228857725858688,-12.755159378051758
105,CALM,51.412113189697266,-2.766381025314331,1.444985270500183,4.270616054534912,0.007554525509476662,-12.618790626525879
106,SURPRISED,93.48957824707031,-2.7106716632843018,1.642225742340088,3.879028558731079,-0.0946197435259819,-13.019320487976074
107,SURPRISED,75.68737030029297,-2.805398941040039,2.003575325012207,4.231081008911133,-0.07058572769165039,-11.891982078552246
108,CALM,81.66015625,-2.6762661933898926,1.804465413093567,4.308068752288818,-0.4326625168323517,-11.42297649383545
109,CALM,84.40673828125,-2.718305826187134,2.0107505321502686,4.186331748962402,-0.7215859293937683,-10.98937702178955
110,CALM,89.28955078125,-2.551302671432495,1.8164706230163574,4.139817714691162,-0.7203146815299988,-10.861007690429688
